body,Asker,Answered,Answered by,,
"{quote} we are using a custom fork but only for community testing {quote} That's what our thirdparty-releases repository [1] is for, so ideally we should upload the patched release there. Were the patches also submitted to upstream emma so they can get into a future release? Moving the emma tests to a profile would be good. [1]https://community.jboss.org/wiki/MavenDeployingaThirdpartyRelease",,,,,
"Hi Weinan, We left as much of the old builds directory structure in place as maven could cope with. Please can you clarify if there is an EAP issue with the code in these folders as we have previously decided not to make cosmetic changes to the structure? Tom",,,,,
"Hi Tom, I'm working on this with Paul one by one. After I change the dir structure of one component, I'll rerun mvn install on whole project to make sure I don't break anything. For what I've seen most of these legacy components could be restructured to maven standard one. If there are some more complex situations we could discuss on it then, wdyt?",,,,,
Should we link this to JBTM-1970 as well?,,,,,
"Hi, Could you please confirm, can we use JBossTS 4.3.GA release for above mentioned problem. Thanks, Sube",,,,,
Is there a pull request for this on WildFly or does it require M5?,,,,,
In what way did it break the build? I thought I had built everything when I changed this yesterday.,,,,,
"Hi Paul, The dir name and artifact id are effectively fixed at the moment. However, as you say we have more flexibility on the ""project name"" field. Can you update your table with an example of your preferred project name for those modules you have referenced originally, please? Thanks, Tom",,,,,
"Hi Paul, is the ""Narayana: "" prefix implied and therefore a little redundant (I realise I added the redundancy myself with JBossJTS, so just trying to get your opinion here)? if not the table looks good to me - thanks!",,,,,
"Tom, I have a question: Shall a rename the prefix from ""Narayana: "" to ""JBossTS"" for branch 4.17?",,,,,
"Hi Weinan, I think that would be best, if you didn't mind? Thanks, Tom",,,,,
"Hi Mike, This issue was marked as ""Resolved, Done"" but there is no ""Fix Version"" specified. Please can you update the Jira with the version of the software where you fixed this? Also, can you then close the issue (assuming its not an in development version). Thanks, Tom",,,,,
Is this not something that the build can automate?,,,,,
"Hi Tom, [tom@dhcppc1 quickstart]((4.17.4.Final)) $ git name-rev HEAD HEAD tags/4.17.4.Final [tom@dhcppc1 quickstart]((4.17.4.Final)) $ find . -name \pom.xml -exec grep -l 4.17.5 {} \; [tom@dhcppc1 quickstart]((4.17.4.Final)) $ I can't find any reference to 4.17.5 on that tag (SNAPSHOT or otherwise). Can you try to find which file has that reference in? Maybe somehow your repo is corrupted? Tom",,,,,
"Hi Paul, Can you list the files that are in the uber jars but not in the individual jars? The AS currently just consumes the uber jars so I want to make sure when we move to using the individual jars in the AS we can anticipate any further modifications required. Thanks, Tom",,,,,
"1. I now have the DTF running on my laptop and executing simple test cases. This involved: * setting up the MySQL database with the appropriate username, password, database and tables to allow those components of the DTF which make use of the database to access it * setting up Tomcat with (i) the appropriate server.xml configuration to allow defining the proper context for the DTF (servlet invoker, JDBC resource, SMTP env property, welcome file for default.jsp) and (ii) the DTFweb jsp pages and servlets in the correct location * patching the DTF_3_9 source code in appropriate places to allow the DTF to start up correctly * reworking all the DTF configuration files (run_coordinator.sh, coordinator.xml, and the like) so that the DTF installs with a configuration suitable for running off a laptop, with local references to libraries (as opposed to picking up classes from the Tomcat repository) * defining some JUnit test cases which can be used to test the integrity of DTF services individually (i.e. Coordinator, ProductRepository, etc) * reworked the DTF build to make it more user-friendly and added in parts of the build which were missing (e.g. compilation of LinuxProcessHandler.c) At present, the test cases being executed are simple DTF native test cases. I hope to have more substantial test cases running in the next few days.",,,,,
"I have movd the DTF to the QA Labs machines. A database called dtf has been set up on a MySQL server on dev02.qa.atl.jboss.com. I have installed a copy of Tomcat in my home directory on the labs machines, with the following node pool: dev04: runs the DTF executive (NameServer, Coordinator, ServiceManager, ProductRepository, ResultsCollator) and one TestNode dev02: runs one TestNode The DTFweb user interface starts up correctly using the URL http://dev04:8080/dtf. Initiation of test nodes, product deployment, work fine under the control of the DTFweb user interface. However test cases which work on my local machine fail to work correctly when run on the QA Labs machines. There seems to be a problem with (i) receiving output from tasks and (ii) the results of the tests. I am investigating these problems.",,,,,
"Tom, I was thinking that this would be good for Amos to investigate. Can you add any ideas you may have to the above text and then assign accordingly?",,,,,
Maybe this isn't worth the bother? How about we split the job up into 5 1hr pieces and defer this task until we are in a position where we are using too much CI time?,,,,,
Did this get resolved? I saw some commits on the 4.17 branch,,,,,
"I have executed this test locally and it succeeds once executed alone or with idlj tests only. However, if both jacorb and idlj is enabled this test fails. Here is the outcome: {code} Jul 03, 2013 1:48:11 PM com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit initORBandOA INFO: ARJUNA022087: RecoveryServer using existing ORB Jul 03, 2013 1:48:12 PM com.sun.corba.se.impl.orb.ORBDataParserImpl getPersistentServerId WARNING: ""IOP00910206: (INITIALIZE) Persistent server ID is not set"" org.omg.CORBA.INITIALIZE: vmcid: SUN minor code: 206 completed: Maybe at com.sun.corba.se.impl.logging.ORBUtilSystemException.persistentServeridNotSet(ORBUtilSystemException.java:3643) at com.sun.corba.se.impl.logging.ORBUtilSystemException.persistentServeridNotSet(ORBUtilSystemException.java:3657) at com.sun.corba.se.impl.orb.ORBDataParserImpl.getPersistentServerId(ORBDataParserImpl.java:307) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorBase.<init>(POAPolicyMediatorBase.java:107) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorImpl_NR_UDS.<init>(POAPolicyMediatorImpl_NR_UDS.java:52) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorFactory.create(POAPolicyMediatorFactory.java:45) at com.sun.corba.se.impl.oa.poa.POAImpl.initialize(POAImpl.java:383) at com.sun.corba.se.impl.oa.poa.POAImpl.create_POA(POAImpl.java:799) at com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit.getRCPOA(JavaIdlRCServiceInit.java:110) at com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit.startRCservice(JavaIdlRCServiceInit.java:177) at com.hp.mwtests.ts.jts.orbspecific.recovery.JavaIdlRecoveryUnitTest.testInit(JavaIdlRecoveryUnitTest.java:74) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:601) at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:45) at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:15) at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:42) at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:20) at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:28) at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:30) at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:263) at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:68) at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:47) at org.junit.runners.ParentRunner$3.run(ParentRunner.java:231) at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:60) at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:229) at org.junit.runners.ParentRunner.access$000(ParentRunner.java:50) at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:222) at org.junit.runners.ParentRunner.run(ParentRunner.java:300) at org.apache.maven.surefire.junit4.JUnit4Provider.execute(JUnit4Provider.java:252) at org.apache.maven.surefire.junit4.JUnit4Provider.executeTestSet(JUnit4Provider.java:141) at org.apache.maven.surefire.junit4.JUnit4Provider.invoke(JUnit4Provider.java:112) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:601) at org.apache.maven.surefire.util.ReflectionUtils.invokeMethodWithArray(ReflectionUtils.java:189) at org.apache.maven.surefire.booter.ProviderFactory$ProviderProxy.invoke(ProviderFactory.java:165) at org.apache.maven.surefire.booter.ProviderFactory.invokeProvider(ProviderFactory.java:85) at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:115) at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:75) Jul 03, 2013 1:48:12 PM com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit getRCPOA WARN: ARJUNA022081: Failed to create poa for recoverycoordinators org.omg.CORBA.INITIALIZE: vmcid: SUN minor code: 206 completed: Maybe at com.sun.corba.se.impl.logging.ORBUtilSystemException.persistentServeridNotSet(ORBUtilSystemException.java:3643) at com.sun.corba.se.impl.logging.ORBUtilSystemException.persistentServeridNotSet(ORBUtilSystemException.java:3657) at com.sun.corba.se.impl.orb.ORBDataParserImpl.getPersistentServerId(ORBDataParserImpl.java:307) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorBase.<init>(POAPolicyMediatorBase.java:107) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorImpl_NR_UDS.<init>(POAPolicyMediatorImpl_NR_UDS.java:52) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorFactory.create(POAPolicyMediatorFactory.java:45) at com.sun.corba.se.impl.oa.poa.POAImpl.initialize(POAImpl.java:383) at com.sun.corba.se.impl.oa.poa.POAImpl.create_POA(POAImpl.java:799) at com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit.getRCPOA(JavaIdlRCServiceInit.java:110) at com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit.startRCservice(JavaIdlRCServiceInit.java:177) at com.hp.mwtests.ts.jts.orbspecific.recovery.JavaIdlRecoveryUnitTest.testInit(JavaIdlRecoveryUnitTest.java:74) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:601) at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:45) at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:15) at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:42) at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:20) at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:28) at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:30) at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:263) at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:68) at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:47) at org.junit.runners.ParentRunner$3.run(ParentRunner.java:231) at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:60) at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:229) at org.junit.runners.ParentRunner.access$000(ParentRunner.java:50) at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:222) at org.junit.runners.ParentRunner.run(ParentRunner.java:300) at org.apache.maven.surefire.junit4.JUnit4Provider.execute(JUnit4Provider.java:252) at org.apache.maven.surefire.junit4.JUnit4Provider.executeTestSet(JUnit4Provider.java:141) at org.apache.maven.surefire.junit4.JUnit4Provider.invoke(JUnit4Provider.java:112) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:601) at org.apache.maven.surefire.util.ReflectionUtils.invokeMethodWithArray(ReflectionUtils.java:189) at org.apache.maven.surefire.booter.ProviderFactory$ProviderProxy.invoke(ProviderFactory.java:165) at org.apache.maven.surefire.booter.ProviderFactory.invokeProvider(ProviderFactory.java:85) at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:115) at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:75) Jul 03, 2013 1:48:12 PM com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit initORBandOA INFO: ARJUNA022087: RecoveryServer using existing ORB Jul 03, 2013 1:48:12 PM com.sun.corba.se.impl.orb.ORBDataParserImpl getPersistentServerId WARNING: ""IOP00910206: (INITIALIZE) Persistent server ID is not set"" org.omg.CORBA.INITIALIZE: vmcid: SUN minor code: 206 completed: Maybe at com.sun.corba.se.impl.logging.ORBUtilSystemException.persistentServeridNotSet(ORBUtilSystemException.java:3643) at com.sun.corba.se.impl.logging.ORBUtilSystemException.persistentServeridNotSet(ORBUtilSystemException.java:3657) at com.sun.corba.se.impl.orb.ORBDataParserImpl.getPersistentServerId(ORBDataParserImpl.java:307) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorBase.<init>(POAPolicyMediatorBase.java:107) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorImpl_NR_UDS.<init>(POAPolicyMediatorImpl_NR_UDS.java:52) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorFactory.create(POAPolicyMediatorFactory.java:45) at com.sun.corba.se.impl.oa.poa.POAImpl.initialize(POAImpl.java:383) at com.sun.corba.se.impl.oa.poa.POAImpl.create_POA(POAImpl.java:799) at com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit.getRCPOA(JavaIdlRCServiceInit.java:110) at com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit.startRCservice(JavaIdlRCServiceInit.java:177) at com.hp.mwtests.ts.jts.orbspecific.recovery.JavaIdlRecoveryUnitTest.testRecoveryInit(JavaIdlRecoveryUnitTest.java:86) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:601) at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:45) at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:15) at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:42) at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:20) at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:28) at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:30) at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:263) at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:68) at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:47) at org.junit.runners.ParentRunner$3.run(ParentRunner.java:231) at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:60) at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:229) at org.junit.runners.ParentRunner.access$000(ParentRunner.java:50) at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:222) at org.junit.runners.ParentRunner.run(ParentRunner.java:300) at org.apache.maven.surefire.junit4.JUnit4Provider.execute(JUnit4Provider.java:252) at org.apache.maven.surefire.junit4.JUnit4Provider.executeTestSet(JUnit4Provider.java:141) at org.apache.maven.surefire.junit4.JUnit4Provider.invoke(JUnit4Provider.java:112) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:601) at org.apache.maven.surefire.util.ReflectionUtils.invokeMethodWithArray(ReflectionUtils.java:189) at org.apache.maven.surefire.booter.ProviderFactory$ProviderProxy.invoke(ProviderFactory.java:165) at org.apache.maven.surefire.booter.ProviderFactory.invokeProvider(ProviderFactory.java:85) at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:115) at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:75) Jul 03, 2013 1:48:12 PM com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit getRCPOA WARN: ARJUNA022081: Failed to create poa for recoverycoordinators org.omg.CORBA.INITIALIZE: vmcid: SUN minor code: 206 completed: Maybe at com.sun.corba.se.impl.logging.ORBUtilSystemException.persistentServeridNotSet(ORBUtilSystemException.java:3643) at com.sun.corba.se.impl.logging.ORBUtilSystemException.persistentServeridNotSet(ORBUtilSystemException.java:3657) at com.sun.corba.se.impl.orb.ORBDataParserImpl.getPersistentServerId(ORBDataParserImpl.java:307) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorBase.<init>(POAPolicyMediatorBase.java:107) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorImpl_NR_UDS.<init>(POAPolicyMediatorImpl_NR_UDS.java:52) at com.sun.corba.se.impl.oa.poa.POAPolicyMediatorFactory.create(POAPolicyMediatorFactory.java:45) at com.sun.corba.se.impl.oa.poa.POAImpl.initialize(POAImpl.java:383) at com.sun.corba.se.impl.oa.poa.POAImpl.create_POA(POAImpl.java:799) at com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit.getRCPOA(JavaIdlRCServiceInit.java:110) at com.arjuna.ats.internal.jts.orbspecific.javaidl.recoverycoordinators.JavaIdlRCServiceInit.startRCservice(JavaIdlRCServiceInit.java:177) at com.hp.mwtests.ts.jts.orbspecific.recovery.JavaIdlRecoveryUnitTest.testRecoveryInit(JavaIdlRecoveryUnitTest.java:86) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:601) at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:45) at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:15) at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:42) at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:20) at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:28) at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:30) at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:263) at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:68) at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:47) at org.junit.runners.ParentRunner$3.run(ParentRunner.java:231) at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:60) at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:229) at org.junit.runners.ParentRunner.access$000(ParentRunner.java:50) at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:222) at org.junit.runners.ParentRunner.run(ParentRunner.java:300) at org.apache.maven.surefire.junit4.JUnit4Provider.execute(JUnit4Provider.java:252) at org.apache.maven.surefire.junit4.JUnit4Provider.executeTestSet(JUnit4Provider.java:141) at org.apache.maven.surefire.junit4.JUnit4Provider.invoke(JUnit4Provider.java:112) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:601) at org.apache.maven.surefire.util.ReflectionUtils.invokeMethodWithArray(ReflectionUtils.java:189) at org.apache.maven.surefire.booter.ProviderFactory$ProviderProxy.invoke(ProviderFactory.java:165) at org.apache.maven.surefire.booter.ProviderFactory.invokeProvider(ProviderFactory.java:85) at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:115) at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:75) {code}",,,,,
How are you running the test. The following syntax used to work but not anymore: {code} ./build.sh -f ArjunaJTS/pom.xml test -Dtest=com.hp.mwtests.ts.jts.orbspecific.recovery.JavaIdlRecoveryUnitTest -Didlj-enabled {code},,,,,
"The reason in the difference in the tests is because if JacORB runs first it has put its RC entry in the object store. You can replicate the issue by using the ObjectStore in the attached jacorb-rc-in-object-store.tgz. If you put it as ArjunaJTS/jts/target/test-classes/ObjectStore then even ""./build.sh -f ArjunaJTS/jts/pom.xml test -Dtest=JavaIdlRecoveryUnitTest -Didlj-enabled"" would fail. iirc the RC manager uses a known UID hence why running JacORB then JDKORB in the same ObjectStore will be a problem. If you notice, the specific test that fails isn't actually the one that is generated in the log you pasted, so success or fail you get those log messages. i.e. those log messages come from tests where failure is expected. That being said, I don't know if there are any tests where success is expected - we should make sure we have some of those as that log message implies that the JDK orb hasn't been configured correctly. i.e. do we have a test that correctly initializes a JDK ORB RC manager? The only tests I see in JavaIdlRecoveryUnitTest are testing failure scenarios.",,,,,
"Conversation with Gytis on a potential solution: pfrobinson: whilst you are at it, can you have a quick check to see if you can add modules to the classloader in that phase too? [12:06pm] gytist: you mean dependencies like org.jboss.xts? [12:10pm] pfrobinson: yeah [12:10pm] pfrobinson: I want to scan for the use of @Transactional and then add the org.jboss.jts depenedency to the deployment [12:10pm] gytist: I think it is, some of the subsystems automatically add dependencies [12:11pm] pfrobinson: yeah, that was my thoughts too [12:11pm] pfrobinson: for example, if persistence.xml is present, you add the jpa deps [12:11pm] gytist: I saw it when I was researching my issue on Monday [12:11pm] gytist: need to find it again [12:12pm] gytist: grep for this class WSDependenciesProcessor [12:12pm] gytist: that's what you need [12:12pm] pfrobinson: great, thanks",,,,,
"Done in 4.17 using EAP: https://github.com/jbosstm/quickstart/commit/5d7a4ea39bea48c90b63de783381ced493ba343e Gytis: can you apply to master using WildFly. I think the commands are the same, but you will need to test them. Also, you will need to rename the occurrences of JBoss EAP 6.1 with WildFly. I think it should be less specific about the actual version downloaded. Just tell the user to go get WildFly from the download page and then unzip it. This will stop it going out of date every time a new version is released.",,,,,
"I see. Now I understand the issue but not the context nor the solution, thanks. How does the participant recover and who rolls back the participant if there is no transaction.",,,,,
"Thanks Mike to take a look. The StompConnect code will be moved to wildfly-blacktie subsystem with JBTM-1568, I just wonder it is any problem to use the bridge or maybe another way to associated JTS transaction ?",,,,,
"[~gytis], [~zhfeng] mentioned that he had asked you to review: https://github.com/zhfeng/narayana/commit/b51faee71db0977898f471e806b5e88162100945 Have you had chance to do this yet?",,,,,
"Hi Amos, I think this is resolved? At least, the pull was merged? Tom",,,,,
"I notice qa and rts have printSummary set to true. Maybe do that for everything anyway? Whatever we do, we should be consistent though.",,,,,
Did we upgrade the surefire version recently?,,,,,
"I don't especially like the additional text either, but my detective skills have shown this is the reason it does it like this now: http://jira.codehaus.org/browse/SUREFIRE-968 Seems to make sense in the context of what they are trying to achieve, maybe we can raise an enhancement over on their Jira to make this only take affect when parallel is not false?",,,,,
Seems like a few things broke or changed behaviour due to 1875. Can we have a better vetting process in future to either prevent these things creeping in or at least document them such that they don't come as a surprise?,,,,,
Is this still likely for tomorrow?,,,,,
"[~paul.robinson] I think this is resolved? At least, I managed to debug the XTS issue we were having so I presume it is?",,,,,
"Gytis, I've had a look at this issue and updated the description with what should now work. Tom and I have tried it out. It's going to be quite time-consuming, and I still have a few M5 issues left to do. Can you take a look at this please. Re-assign it back if you don't think you will have time to do it.",,,,,
"Thanks Ondra, that looks like what I was missing. Mike is there any chance we can back port this into our community docs please?",,,,,
The definitive documentation for CLI subsystems are in the XSDs (docs/schema/jboss-as-txn_<version>.xsd). Rather than duplicate this documentation and risk it diverging my preference is to simply point the community docs at this file. Does anyone have any objections with this approach?,,,,,
Is this issues resolved now? /cc [~paul.robinson],,,,,
We should make sure we are using the PRODUCT variable throughout. We should also add variables for the target app server (IMO). This will allow us to use Narayana and WildFly for the community docs and JBossTS and JBoss AS in the product docs. Does this last point make sense?,,,,,
"I've read through the XTS docs. I've applied the minor changes (mostly typos) here: https://github.com/jbosstm/documentation/commit/238a06aa9e50ff03144c7f542c08f1b36a9e6b93. Gytis, Can you apply this to the 4.17 branch please? I also have some ideas about how to layout the docs for the new feature-work done in Narayana 5. I will discuss this with Gytis when we meet to discuss the XTS docs.",,,,,
JIRA is not the appropriate place to ask this question. Please can you raise it via the forums at http://www.jboss.org/ejb3,,,,,
"Can you add something to the documentation (the section around application server integration)? If you want, send me text and I'll put it in place.",,,,,
http://www.nabble.com/Spring---JBossTS-integration-t3901668.html You might want to mark this as Started ;-)?,,,,,
For some reason I don't spot the attachment? It does seem a little extreme but could the level be dropped?,,,,,
I am wondering about whether the reaper could process the XAResources asynchronously but process the afterCompletion from the application thread. It might help the JPA use case?,,,,,
I think that if we are allowing defaults for all values (good idea) then it should be possible for someone to deploy a transactional application without a property file. Maybe give a warning or output in Info?,,,,,
"Hi Mark, The issue is that jts is not a strict superset of jta. To be able to provide a single binary containing both JTS and JTA, you therefore need a properties file. Otherwise you have to decide the java hardcoded defaults at compile time, which means using code templates in the jta module compile. We could look at only requiring the properties file once you get to JTA or greater level of the framework? What do you think? Tom",,,,,
Or if there's no property file default to JTA (or JTS)?,,,,,
"Would the intention also be to no longer ship a default jbossts-properties.xml file in the jars, and to no longer be able to change the default name of the config file in the manifest.mf?",,,,,
What values are in the default properties file these days?,,,,,
"I think your idea of requiring it for JTA or JTS is a good start. Beyond that I wonder if we could infer these default values (e.g., JTA implementation) by what's in your class path? Maybe a separate JIRA?",,,,,
"The original Android code should still be in my Android branch on svn. The vert.x code is https://github.com/nmcl/mod-stm Try removing the property file? Note, this is 5.0.0.Final of TS.",,,,,
Is this something that needs to be meaningful in a distributed environment? What about a heterogeneous environment?,,,,,
"Hi Jesper, it would be great if you could provide a couple of details on the intended usage of the request, please?",,,,,
"I added a forum reference for this which I found. I am extrapolating a little, but is the issue related to calling hashCode in JTS afterCompletion in a subordinate node and are there other scenarios you have found it to be volatile?",,,,,
"From Jesper on the forum: {quote} JBTM-2216 is needed for cases where the Transaction instance is currently used as a key in a Map<Transaction, ?>, and the map is cleaned up in a Synchronization:afterCompletion() implementation. The map is static in order to coordinate across the JVM. Example usage (constructor) this.tx = tx; this.key = TxSPI.getIdentifier(tx); txMap.put(key, this); Example usage (afterCompletion) txMap.remove(key); {quote}",,,,,
"Hi Lami, Would you be interested in contributing a pull request for this enhancement? If so, please can you sign the CLA over here: https://cla.jboss.org/index.seam (the project is JBoss Transactions) The raise a pull request against either 4.17 or master over here: https://github.com/jbosstm/narayana/pulls Many thanks, Tom",,,,,
[~tomjenkinson] Not fully sure if our discussion at https://issues.jboss.org/browse/JBEAP-610?focusedCommentId=13147405#comment-13147405 is directly connected to this issue but you previous comments seem to me so. What I remember by [~hhovsepy]'s investigation it seemed that JTS works with 2pc for propagated transactions at any time (meaning even with one resource enlisted). Later on that was found that we have (?) some trouble in test and 1pc is used. Your reference of https://c.na7.visual.force.com/apex/Case_View?sbstr=01560781 seems to me not related as it's rather caused by the fact discussing at https://issues.jboss.org/browse/JBEAP-225 and https://issues.jboss.org/browse/WFLY-4608 which is based on issue in container. _plus as action item from f2f I would say that what you mentions in your first comment is not so. if we are not wrong in our settings then jts and jboss remoting run 1pc_,,,,,
"Hi, The QS is merged is this ""resolved""? Thanks, Tom",,,,,
Should I remove the fix version number as I don't believe this is work that is currently scheduled?,,,,,
